id;title;description;publication_date;price
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;2021-02-04;79996
2;forecast;Tasty Fresh Chips Baht;2021-02-04;75640
3;Configuration mobile intuitive;Center;2021-02-04;58159
4;generate;Designer calculating;2021-02-04;47433
5;toolset ADP;synthesizing Industrial;2021-02-04;12667
6;Representative software;Bedfordshire calculating Toys;2021-02-05;81667
7;Books Soft;FTP Points;2021-02-04;19605
8;Generic ivory;limeX;2021-02-04;88762
9;cross-platform;Consultant XML methodologies;2021-02-04;39936
10;application;withdrawal payment;2021-02-05;5839
